               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.056761,            0.016964,           0.0077158,              0.8006,             0.73163,             0.84704,             0.48814,            0.031012,           0.0084671,           0.0045765,           0.0063865,           0.0063865,           0.0063865
                  75,            0.049625,             0.01657,           0.0065864,             0.78549,             0.91667,             0.95056,             0.69324,            0.024178,           0.0081499,            0.003851,            0.006337,            0.006337,            0.006337
                  76,            0.041613,            0.018077,           0.0061243,             0.78549,             0.91667,             0.95056,             0.69324,            0.024178,           0.0081499,            0.003851,           0.0062875,           0.0062875,           0.0062875
                  77,            0.037486,             0.01377,           0.0076056,             0.85437,               0.883,               0.995,             0.44279,            0.034872,           0.0083389,           0.0027529,            0.006238,            0.006238,            0.006238
                  78,            0.054348,            0.022078,           0.0071826,             0.85437,               0.883,               0.995,             0.44279,            0.034872,           0.0083389,           0.0027529,           0.0061885,           0.0061885,           0.0061885
                  79,            0.062653,            0.016004,           0.0049666,             0.75568,              0.9863,             0.90089,             0.45265,            0.029475,           0.0081202,           0.0022686,            0.006139,            0.006139,            0.006139
                  80,            0.057457,            0.015632,           0.0076549,             0.75568,              0.9863,             0.90089,             0.45265,            0.029475,           0.0081202,           0.0022686,           0.0060895,           0.0060895,           0.0060895
                  81,            0.057809,            0.021455,           0.0049699,             0.68026,              0.8322,             0.86347,             0.40589,            0.028224,           0.0079726,           0.0021209,             0.00604,             0.00604,             0.00604
                  82,            0.053118,            0.021098,            0.005838,             0.68026,              0.8322,             0.86347,             0.40589,            0.028224,           0.0079726,           0.0021209,           0.0059905,           0.0059905,           0.0059905
                  83,            0.051693,            0.021528,           0.0064186,             0.89395,             0.83271,             0.90929,              0.5366,            0.021128,           0.0076791,           0.0020739,            0.005941,            0.005941,            0.005941
                  84,            0.038176,            0.015037,           0.0042554,             0.89395,             0.83271,             0.90929,              0.5366,            0.021128,           0.0076791,           0.0020739,           0.0058915,           0.0058915,           0.0058915
                  85,            0.055903,            0.015536,           0.0057952,             0.59174,                   1,              0.8351,             0.55153,            0.031589,            0.007167,           0.0023044,            0.005842,            0.005842,            0.005842
                  86,            0.050659,            0.021311,           0.0068676,             0.59174,                   1,              0.8351,             0.55153,            0.031589,            0.007167,           0.0023044,           0.0057925,           0.0057925,           0.0057925
                  87,            0.047649,            0.017405,           0.0054775,             0.62077,             0.98807,             0.92595,             0.39812,            0.027337,           0.0074394,           0.0029733,            0.005743,            0.005743,            0.005743
                  88,            0.051112,            0.014827,           0.0057383,             0.62077,             0.98807,             0.92595,             0.39812,            0.027337,           0.0074394,           0.0029733,           0.0056935,           0.0056935,           0.0056935
                  89,            0.054236,            0.016259,           0.0053575,             0.79709,             0.80872,             0.93389,             0.49106,            0.022497,           0.0070649,           0.0035137,            0.005644,            0.005644,            0.005644
                  90,             0.04544,            0.016538,           0.0075263,             0.79709,             0.80872,             0.93389,             0.49106,            0.022497,           0.0070649,           0.0035137,           0.0055945,           0.0055945,           0.0055945
                  91,            0.039085,            0.015067,           0.0043059,             0.77527,             0.91667,               0.945,             0.54535,            0.023766,           0.0070124,           0.0029108,            0.005545,            0.005545,            0.005545
                  92,            0.034187,            0.014069,           0.0049069,             0.77527,             0.91667,               0.945,             0.54535,            0.023766,           0.0070124,           0.0029108,           0.0054955,           0.0054955,           0.0054955
                  93,            0.051724,            0.014642,            0.013395,             0.82398,             0.89045,             0.90889,             0.52779,            0.025972,            0.007103,           0.0019758,            0.005446,            0.005446,            0.005446
                  94,            0.050203,            0.022731,           0.0075185,             0.82398,             0.89045,             0.90889,             0.52779,            0.025972,            0.007103,           0.0019758,           0.0053965,           0.0053965,           0.0053965
                  95,             0.03755,            0.014726,           0.0048417,             0.99202,             0.91667,             0.97833,             0.64415,            0.020456,           0.0068616,           0.0018719,            0.005347,            0.005347,            0.005347
                  96,            0.045581,             0.01727,           0.0073859,             0.99202,             0.91667,             0.97833,             0.64415,            0.020456,           0.0068616,           0.0018719,           0.0052975,           0.0052975,           0.0052975
                  97,            0.040978,            0.014464,           0.0043825,             0.75842,             0.99937,             0.97595,             0.53832,            0.021784,           0.0068351,           0.0018296,            0.005248,            0.005248,            0.005248
                  98,            0.043867,            0.015377,           0.0059572,             0.75842,             0.99937,             0.97595,             0.53832,            0.021784,           0.0068351,           0.0018296,           0.0051985,           0.0051985,           0.0051985
                  99,            0.042981,            0.013737,           0.0034803,             0.92104,             0.91667,             0.96722,             0.69937,            0.018957,           0.0068427,           0.0018318,            0.005149,            0.005149,            0.005149
                 100,            0.046012,            0.012759,           0.0041974,             0.92104,             0.91667,             0.96722,             0.69937,            0.018957,           0.0068427,           0.0018318,           0.0050995,           0.0050995,           0.0050995
                 101,            0.031307,            0.011389,           0.0034078,             0.83945,             0.99974,               0.995,             0.67346,            0.019618,           0.0066421,           0.0018081,             0.00505,             0.00505,             0.00505
                 102,            0.044032,            0.015862,            0.012945,             0.83945,             0.99974,               0.995,             0.67346,            0.019618,           0.0066421,           0.0018081,           0.0050005,           0.0050005,           0.0050005
