               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.045015,            0.015012,            0.003578,             0.97184,                   1,               0.995,             0.64915,            0.021176,           0.0068345,           0.0014011,            0.006733,            0.006733,            0.006733
                 101,            0.043246,            0.013506,           0.0038149,             0.74306,                   1,             0.95056,             0.62101,            0.023836,           0.0067056,           0.0013222,              0.0067,              0.0067,              0.0067
                 102,            0.045753,            0.016755,           0.0053366,             0.74306,                   1,             0.95056,             0.62101,            0.023836,           0.0067056,           0.0013222,            0.006667,            0.006667,            0.006667
                 103,            0.040977,             0.01473,           0.0046327,             0.88627,             0.99778,               0.995,             0.71918,            0.022653,           0.0063658,           0.0013177,            0.006634,            0.006634,            0.006634
                 104,             0.04922,             0.01545,           0.0053855,             0.88627,             0.99778,               0.995,             0.71918,            0.022653,           0.0063658,           0.0013177,            0.006601,            0.006601,            0.006601
                 105,            0.039494,            0.012623,           0.0033072,             0.88221,                   1,               0.995,             0.74916,            0.022353,           0.0066544,           0.0012765,            0.006568,            0.006568,            0.006568
                 106,            0.046287,            0.015757,           0.0033276,             0.88221,                   1,               0.995,             0.74916,            0.022353,           0.0066544,           0.0012765,            0.006535,            0.006535,            0.006535
                 107,             0.04766,            0.013934,            0.003049,             0.99456,             0.81356,             0.97833,             0.59586,            0.021476,           0.0065509,           0.0012271,            0.006502,            0.006502,            0.006502
                 108,            0.040109,            0.012897,           0.0083171,             0.99456,             0.81356,             0.97833,             0.59586,            0.021476,           0.0065509,           0.0012271,            0.006469,            0.006469,            0.006469
                 109,            0.045477,            0.013777,           0.0063247,             0.82322,                   1,             0.97595,             0.63013,             0.02049,           0.0064847,           0.0012148,            0.006436,            0.006436,            0.006436
                 110,            0.043146,            0.016983,           0.0039463,             0.82322,                   1,             0.97595,             0.63013,             0.02049,           0.0064847,           0.0012148,            0.006403,            0.006403,            0.006403
                 111,            0.028967,            0.013831,            0.002409,             0.76822,                   1,             0.96167,             0.56083,            0.022697,           0.0067571,           0.0011743,             0.00637,             0.00637,             0.00637
                 112,             0.05068,            0.013789,           0.0032391,             0.76822,                   1,             0.96167,             0.56083,            0.022697,           0.0067571,           0.0011743,            0.006337,            0.006337,            0.006337
                 113,            0.050018,            0.016984,           0.0038863,             0.92948,             0.83333,             0.92357,              0.5947,            0.021359,           0.0067735,           0.0011774,            0.006304,            0.006304,            0.006304
                 114,            0.038582,            0.018272,           0.0049554,             0.92948,             0.83333,             0.92357,              0.5947,            0.021359,           0.0067735,           0.0011774,            0.006271,            0.006271,            0.006271
                 115,            0.040275,            0.016041,           0.0037657,             0.88878,             0.91667,             0.97833,             0.61627,            0.020193,           0.0063569,           0.0011998,            0.006238,            0.006238,            0.006238
                 116,            0.039508,            0.014896,           0.0058022,             0.88878,             0.91667,             0.97833,             0.61627,            0.020193,           0.0063569,           0.0011998,            0.006205,            0.006205,            0.006205
                 117,            0.043213,            0.013478,           0.0038141,             0.71588,             0.99981,             0.98389,             0.53964,            0.020566,           0.0064075,           0.0012415,            0.006172,            0.006172,            0.006172
